bytes,predicted_ns,measured_ns,rel_err_pct,measured_copy_GBps,measured_traffic_GBps
4096,34.1,38.1,-10.4,107.51,215.01
16384,136.5,160.1,-14.7,102.35,204.7
65536,546.1,871.7,-37.3,75.18,150.37
262144,2184.5,3546.7,-38.4,73.91,147.82
1048576,8738.1,14252.8,-38.7,73.57,147.14
4194304,34952.5,57079.5,-38.8,73.48,146.96
16777216,139810.1,316888.9,-55.9,52.94,105.89
67108864,559240.5,1494750.0,-62.6,44.9,89.79
