mode,modules,fns,density,generic_slots,distinct_keys,threads,median_ms,q1_ms,q3_ms,reps
deferred,300,16,1,19200,2376,seq,4850.66,4850.66,4850.66,1
content,300,16,1,19200,2376,seq,4931.80,4931.80,4931.80,1
deferred,300,16,1,19200,2376,1,5135.31,5135.31,5135.31,1
content,300,16,1,19200,2376,1,5132.85,5132.85,5132.85,1
deferred,300,16,1,19200,2376,8,1779.94,1779.94,1779.94,1
content,300,16,1,19200,2376,8,1686.34,1686.34,1686.34,1
deferred,300,16,1,19200,2376,32,1503.71,1503.71,1503.71,1
content,300,16,1,19200,2376,32,1435.05,1435.05,1435.05,1
deferred,300,16,1,19200,2376,48,1734.09,1734.09,1734.09,1
content,300,16,1,19200,2376,48,1630.34,1630.34,1630.34,1
